FEMALE,MALE,HEIGHT,WEIGHT,HEAD_WIDTH,SHOULDER_WIDTH,WAIST_WIDTH,WAIST_LENGTH,HIP_WIDTH,HIP_LENGTH,THIGH_WIDTH,THIGH_LENGTH,KNEE_WIDTH,KNEE_LENGTH,WTR,WHpR,WHdR,HpHdR,WTR(Length),WHpR(Length),ShWR,ShHpR,ShThR
0,1,0.337380952,69.1,0.169318052,0.175140272,0.11736776,-0.254203525,0.16498228,-0.276611378,0.143341142,0.088247037,0.0415334,0.128745106,-0.033036913,-0.050283863,-0.015455189,0.005066343,-0.41251506,0.026656935,0.020580471,-0.008639288,0.000762451
0,1,0.031834685,76.7,0.025388367,0.03778937,0.054125686,0.152904066,0.021369476,0.072964393,-0.009601888,0.043818245,0.009562895,-0.057964637,0.066239857,0.037669528,0.027830155,-0.001763964,0.078670237,0.082285398,-0.014212487,0.018123028,0.047814173
0,1,0.036287736,71.5,0.128019569,0.04917859,0.038649683,0.099142982,0.032105784,0.072401033,0.07921859,0.048667775,0.021626006,-0.003731379,-0.030395523,0.015138643,-0.062177522,-0.07123058,0.037053746,0.032810871,0.015883869,0.022873268,-0.021555818
1,0,-0.001466365,50,-0.012935376,-0.118987987,-0.086580306,-0.070528129,0.017080604,-0.061175979,-0.082420828,-0.049539301,-0.237771007,-0.116598417,0.00543169,-0.094491004,-0.057606428,0.036605516,-0.005326904,0.003685466,-0.027172044,-0.126900077,-0.031062061
0,1,0.060585754,86.8,0.106501696,0.158661504,0.101652877,0.131853711,0.059921072,0.112450837,0.116777962,0.271953657,0.386900574,0.234626802,0.001686978,0.056848332,0.011361604,-0.024251121,-0.093719651,0.031317517,0.065401492,0.100942497,0.049477444
0,1,0.05530586,56.7,0.099627919,0.046317777,0.026047981,0.093196034,-0.003268263,0.086655957,0.083800943,0.006560012,0.054008735,0.033459556,-0.034356632,0.0503296,-0.040886117,-0.067600354,0.082860102,0.024120078,0.037549007,0.063670441,-0.016231843
0,1,0.051387597,55,0.022792055,-0.001008534,0.031326294,0.077500985,-0.01432822,0.082351154,0.002116947,0.081560431,0.018438132,0.00598679,0.052427267,0.07170789,0.028333154,-0.01304074,0.005672072,0.017104465,-0.010439086,0.032749021,0.017407969
0,1,0.048837636,64.7,0.099860808,0.092304996,0.024235786,0.109583999,0.060904059,0.205517615,0.0648998,0.031878828,0.358952222,0.186194047,-0.011769723,-0.006785899,-0.035862382,-0.007392558,0.077584193,-0.061479094,0.093534398,0.052522845,0.049927373
1,0,-0.031209951,43.9,0.013742721,-0.076559007,-0.047868924,-0.085114243,-0.02344113,-0.016425641,-0.086713994,-0.064821676,-0.08093722,0.069513399,0.074760225,0.005534082,-0.027838611,-0.006429126,0.012593817,-0.041408963,-0.002475236,-0.025693363,0.038458751
1,0,-0.015881347,57.5,0.062439514,0.050937046,0.036318884,0.013835538,0.073586178,0.055940733,0.067815808,0.029888234,0.060686299,-0.088059716,0.004652007,0.001080532,0.010054841,0.0420003,0.010086283,-0.007512583,0.047832621,0.011921504,0.016717508
